,time,q1,q2,q3,q4,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,11248,0.95,0.02,0.24,-0.18,0.4,-0.49,-0.04,-3643,-1485,6226,13,0,-9
1,11331,0.2,-0.78,-0.6,0.01,1.28,0.22,-0.32,2238,-3187,-9192,-1,-1,0
2,11395,0.62,0.13,0.26,-0.73,1.77,-0.54,-0.23,-4155,-2022,6526,4,0,-7
3,11467,0.38,0.28,0.32,-0.83,2.18,-0.77,-0.32,-5905,-3125,5731,10,4,-8
4,11545,0.87,-0.05,0.25,-0.42,0.95,-0.4,-0.3,-3911,-2707,5025,6,-4,-7
5,11611,-0.87,0.14,-0.41,-0.23,-0.73,-0.89,-0.06,-6819,-14116,5141,96,0,-6
0,11688,0.94,0.05,0.24,-0.23,0.54,-0.49,-0.01,-3637,-1503,6245,11,-2,-7
1,11779,0.2,-0.78,-0.6,0.01,1.28,0.22,-0.32,2116,-3170,-9276,-1,-1,0
2,11833,0.59,0.13,0.25,-0.76,1.85,-0.52,-0.23,-3935,-2034,6633,4,1,-7
3,11907,0.32,0.3,0.29,-0.85,2.28,-0.77,-0.31,-5923,-3167,5721,10,4,-7
4,11985,0.85,-0.04,0.25,-0.45,1.02,-0.41,-0.3,-3973,-2708,5017,6,-3,-6
5,12061,-0.9,-0.05,-0.42,0.15,0.46,-0.86,-0.02,-6731,-14182,5114,96,0,-6
0,12137,0.92,0.08,0.23,-0.29,0.67,-0.5,0.01,-3499,-1491,6219,13,2,-9
1,12217,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2056,-3151,-9326,-1,-1,0
2,12273,0.56,0.14,0.25,-0.78,1.92,-0.52,-0.23,-3996,-2033,6626,4,3,-6
3,12346,0.26,0.32,0.27,-0.87,2.39,-0.77,-0.31,-5916,-3148,5717,10,4,-8
4,12425,0.84,-0.03,0.25,-0.48,1.1,-0.41,-0.3,-3950,-2686,5021,6,-4,-6
5,12499,-0.76,-0.23,-0.36,0.49,1.28,-0.88,0,-6852,-14107,5123,96,-1,-7
0,12576,0.9,0.1,0.23,-0.35,0.81,-0.5,0.02,-3586,-1500,6245,12,2,-8
1,12654,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2095,-3160,-9291,-1,-1,0
2,12712,0.53,0.15,0.24,-0.8,1.99,-0.51,-0.23,-4081,-2034,6583,3,-6,-4
3,12785,0.2,0.34,0.25,-0.89,2.5,-0.77,-0.31,-5910,-3142,5711,8,3,-5
4,12865,0.82,-0.02,0.26,-0.51,1.17,-0.41,-0.3,-3791,-2798,5079,6,-3,-6
5,12930,-0.51,-0.36,-0.24,0.74,1.8,-0.89,0.02,-6780,-14167,5130,96,-1,-6
